,Unnamed: 0,time,median_100_200Hz,avg_100_200Hz,median_400_600Hz,avg_400_600Hz,median_800_1000Hz,avg_800_1000Hz,median_1000_1200Hz,avg_1000_1200Hz,median_1600_1800Hz,avg_1600_1800Hz,median_2000_2600Hz,avg_2000_2600Hz,median_3000_4000Hz,avg_3000_4000Hz
77,29,2023-06-04 14:45:00,-9.923190984876372,-9.706100845757014,-9.488790541872053,-9.187106969309829,-8.489348483649321,-8.321883411134632,-8.798314175135989,-8.610365411848353,-9.950061463768684,-9.7808131358433,-10.753553546687536,-10.56587402288973,-11.491926395953849,-11.266720607307962
78,30,2023-06-04 15:15:00,-9.594766264300535,-9.38202446516851,-9.491910746061905,-9.210041413372348,-8.487205704757946,-8.31398400976524,-8.798314175135989,-8.610365411848353,-9.948689996337668,-9.77859012067475,-10.737169238723576,-10.55980929788211,-11.48990405138952,-11.266085446957389
79,31,2023-06-04 15:45:00,-9.594766264300535,-9.38202446516851,-9.518152731617231,-9.254804007413512,-8.466724198579099,-8.29189228691103,-8.798314175135989,-8.610365411848353,-9.912382636560714,-9.745995533169872,-10.721590963695574,-10.54575841987548,-11.48990405138952,-11.25989146214114
80,32,2023-06-04 16:15:00,-9.594766264300535,-9.38202446516851,-9.518152731617231,-9.254804007413512,-8.463013014689961,-8.290291489334901,-8.779368219491397,-8.592520019738627,-9.909903780108372,-9.744248356508445,-10.70053259801613,-10.519026019451422,-11.489882822313234,-11.253285065600224
81,33,2023-06-04 16:45:00,-9.70628726099411,-9.527721151838026,-9.527658703927465,-9.254804007413512,-8.44383587911245,-8.278593445283681,-8.747549778781654,-8.56903701439677,-9.886802475374123,-9.721033388203852,-10.67782995437912,-10.498794050297285,-11.489882822313234,-11.253285065600224
82,34,2023-06-04 17:15:00,-9.70628726099411,-9.527721151838026,-9.536655815749508,-9.254804007413512,-8.439838040135351,-8.269203544884087,-8.73274466236968,-8.537126325312542,-9.720940123760004,-9.558262654989209,-10.465112879732027,-10.27200425773229,-11.36175625885146,-11.137149849520055
83,35,2023-06-04 17:45:00,-9.741793690568874,-9.542282734819944,-9.541171252126988,-9.210065138762502,-8.404267622399862,-8.236401882756963,-8.73274466236968,-8.53196945150729,-9.68344442310049,-9.518739834872491,-10.449004425918895,-10.2497063365494,-11.36175625885146,-11.137149849520055
84,36,2023-06-04 18:15:00,-9.741793690568874,-9.542282734819944,-9.54444686717695,-9.210065138762502,-8.401490358096778,-8.236401882756963,-8.73274466236968,-8.53196945150729,-9.68344442310049,-9.518739834872491,-10.449004425918895,-10.2497063365494,-11.36175625885146,-11.137149849520055
85,37,2023-06-04 18:45:00,-9.741793690568874,-9.542282734819944,-9.555393295028177,-9.210065138762502,-8.401490358096778,-8.236401882756963,-8.73274466236968,-8.53196945150729,-9.68344442310049,-9.518739834872491,-10.449004425918895,-10.2497063365494,-11.36175625885146,-11.137149849520055
86,38,2023-06-04 19:15:00,-9.70628726099411,-9.542282734819944,-9.569592307571387,-9.210065138762502,-8.391194804916534,-8.225223462978931,-8.770002668990484,-8.53196945150729,-9.68344442310049,-9.518739834872491,-10.458324876952965,-10.256756329328892,-11.403618651001862,-11.17137969310534
87,39,2023-06-04 19:45:00,-9.6801184966022,-9.480174426351027,-9.569592307571387,-9.229682160142412,-8.391194804916534,-8.225223462978931,-8.776511070716033,-8.54472579886348,-9.6997711069389,-9.538006031230362,-10.465112879732027,-10.27200425773229,-11.405819091088915,-11.1714115952992
88,40,2023-06-04 20:15:00,-9.6801184966022,-9.480174426351027,-9.557389501043671,-9.242139622658064,-8.391194804916534,-8.225223462978931,-8.781385617545865,-8.55130833056522,-9.6997711069389,-9.538006031230362,-10.504710962883262,-10.28569420329072,-11.407665385590798,-11.171716242641844
